date,cash,holding_value,nav,holding_symbol,return,cum_return,peak,drawdown
2018-01-02,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-03,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-04,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-05,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-08,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-09,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-10,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-11,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-12,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-15,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-16,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-17,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-18,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-19,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-22,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-23,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-24,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-25,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-26,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-29,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-30,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-01-31,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-02-01,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-02-02,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-02-05,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-02-06,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
2018-02-07,10000.0,0.0,10000.0,CASH,0.0,0.0,10000.0,0.0
